v,Term,Value,estimate,std.error,statistic,p.value
(Intercept),NA,NA,-12.780935566920174,1.972397929570659,-6.479897071126139,9.178521089930876e-11
PopDens_two,NA,NA,0.05661154828954555,0.5140886758100207,0.11012020095627648,0.9123140475411782
RetDens_bg,NA,NA,-0.5286264924597041,0.18030943671541533,-2.9317738554862327,0.0033703206918021477
distrail_walk_quarter,NA,NA,-3.863074654659377,1.699029250316783,-2.273695202092082,0.02298431885376411
distrail_walk_one,NA,NA,-0.1482586461031852,0.7154111156474218,-0.20723559203999278,0.8358258721764626
NumBusStops_one,NA,NA,-1.393060950793653,0.33952588476742884,-4.102959489371136,4.0789869213601986e-5
NetLoadDens_GF18_two,NA,NA,-0.9493104658058893,0.4451936010260788,-2.13235424682189,0.032977735650501175
JobsWi45_transit_to_car_ratio,NA,NA,-0.5242194091804528,0.20772481694064843,-2.523624364681635,0.011615196794288353
NumBusStops_bg,NA,NA,0.2523163092943059,0.18050062958673543,1.3978694139294459,0.16215228497725767
StreetDens_GF18_two,NA,NA,-0.36166403683623893,0.33346502953294593,-1.0845636117909838,0.27811497879660546
age_OE___15_and_up,NA,NA,1.4825580064222712,1.7501041972276645,0.8471255647353955,0.39692513704487475
age_OE___25_and_up,NA,NA,6.839593080174334,0.8251168872238462,8.28924142273532,1.139730001173887e-16
age_OE___35_and_up,NA,NA,-0.7294377970971553,0.6789547010439992,-1.0743541446513742,0.28266398626717165
age_OE___45_and_up,NA,NA,0.5729408130469269,0.6458169105008514,0.8871567215584262,0.37499452934694627
age_OE___55_and_up,NA,NA,-3.265754080520937,0.5676331296625117,-5.753283079975622,8.75267376456299e-9
age_OE___65_and_up,NA,NA,-5.456231803960086,0.5285966445816491,-10.32210828405532,5.598021671396291e-25
age_OE___75_and_up,NA,NA,-7.954228816643896,0.6308172911768,-12.60940200577754,1.87409584128273e-36
hhincome_OE____10k_and_up,NA,NA,3.2053021963203703,1.262490102744849,2.5388731280756556,0.01112101442583104
hhincome_OE____15k_and_up,NA,NA,3.566361099981053,1.0838438672105788,3.2904749548102106,0.0010001840497157529
hhincome_OE____25k_and_up,NA,NA,2.5155641454976987,0.857368164130042,2.934053596508569,0.0033456643051505697
hhincome_OE____35k_and_up,NA,NA,2.5107101195474155,0.773649946271333,3.2452792527783156,0.0011733549725621798
hhincome_OE____50k_and_up,NA,NA,-0.48965552617282504,0.6506490195486662,-0.7525647645061895,0.45171149796306226
hhincome_OE____75k_and_up,NA,NA,3.0094026955201354,0.5834433461923589,5.158003283712053,2.4959724363550845e-7
hhincome_OE___100k_and_up,NA,NA,0.0268902260029713,0.6185867293226458,0.04347042173442061,0.9653265422661441
hhincome_OE___125k_and_up,NA,NA,1.4486000780132724,0.7255925418797083,1.9964373865538259,0.04588633475554644
hhincome_OE___150k_and_up,NA,NA,-1.4020708749188235,0.7822528511182167,-1.7923499708752584,0.07307692336046775
hhincome_OE___200k_and_up,NA,NA,1.0226459706690942,0.7265230553556079,1.407589150998855,0.1592527617935563
hhsize,NA,NA,-0.7511401687320889,0.14684348368311118,-5.115243454405184,3.133365523622223e-7
education_OE___HighSchool_and_up,NA,NA,6.8980012258338785,0.8535139937528062,8.081884159279138,6.377367061072675e-16
education_OE___SomeCollege_and_up,NA,NA,5.461325381703696,0.5341155282975887,10.224988962801424,1.5324541138041774e-24
education_OE___Bachelors_and_up,NA,NA,1.5803098296574853,0.4619812194971874,3.420723100773378,6.24548859799244e-4
education_OE___Graduate_and_up,NA,NA,0.8463361211038647,0.48218024879356414,1.75522768346782,0.07922037045585635
youngchildren,NA,NA,-8.167920146977274,0.42001477517651103,-19.44674480450053,3.1052927790273196e-84
hhincome___Missing,NA,NA,7.934653082911204,1.3496093681380303,5.879221995812119,4.121992519912995e-9
education___Missing,NA,NA,-6.360380303324206,1.6653727827411955,-3.819193137559899,1.338889036850102e-4
age___Missing,NA,NA,-10.819293939069507,4.135766551819101,-2.6160311041518245,0.0088958453517481665
loadDens_X_RetDens_above_med,NA,NA,-0.23485203606027508,0.41915572353270214,-0.5602978150480918,0.5752763175034727
loadDens_X_BusStops_below_thresh,NA,NA,3.1539345483350893,0.5959514831565694,5.292267302750352,1.2080913791849643e-7
sex_Male,NA,NA,2.8627980966950166,0.3153844053074621,9.077170743125777,1.1143371910024256e-19
sex_Missing,NA,NA,3.2916210222063333,4.36063926999929,0.754848273016371,0.4503400256062502
race_AfAm,NA,NA,0.19188563167220257,0.9430548478446196,0.20347239835600547,0.8387658173461708
race_AI,NA,NA,-0.09467369652677851,1.7928411790091754,-0.05280651606803259,0.9578860696751395
race_Asian,NA,NA,-2.7345515870226076,0.5667635592019918,-4.824854284691275,1.401056615145876e-6
race_Missing,NA,NA,-2.971935781202856,1.7790217960469417,-1.6705448959684572,0.09481160446742962
race_Multi,NA,NA,-0.043140076610467946,0.7126401289824181,-0.06053557027734018,0.9517290868001027
race_Other,NA,NA,0.3287846097740845,0.8445452924693733,0.3893037030764192,0.6970514973001621
race_PI,NA,NA,1.1360674321257904,2.0320790597938987,0.5590665513973727,0.576116301475025
ethnicity_Hispanic,NA,NA,1.7651404832909412,0.5301286947665733,3.3296452365555673,8.69567003421882e-4
ethnicity_Missing,NA,NA,7.445107357089968,3.7170932356187034,2.002938017735986,0.045183941787831576
homeown_Missing,NA,NA,5.610401088887142,11.46088349263584,0.4895260555167575,0.6244693126099577
homeown_Other,NA,NA,-4.822072171475977,1.7780007849564985,-2.7120753895471177,0.006686338381371098
homeown_Rent,NA,NA,-2.3145840385962435,0.41587309494925223,-5.565601782627187,2.6124923749230254e-8
cbsa_IE,NA,NA,3.7564305727923712,0.8432348326329769,4.454785816974641,8.397698734265813e-6
cbsa_LA_OC,NA,NA,0.3423693904028165,0.6276096763471293,0.5455132438293588,0.5854005743609818
cbsa_SAC,NA,NA,0.7488601329699206,0.5184021074086895,1.444554569257463,0.14858304148354673
cbsa_SD,NA,NA,0.2016040365056064,0.5911043556378063,0.34106335807333726,0.733055885158562
cbsa_SF_OAK,NA,NA,-0.66501257562175,0.7087018979450217,-0.9383530332711753,0.34806301394765576
cbsa_SJ,NA,NA,-0.6416077629578625,0.9032209681731569,-0.7103552569816555,0.4774838618041062
Log(scale),NA,NA,3.5584584371083423,0.0036749624722582086,968.2978979977784,0
