v,Term,Value,estimate,std.error,statistic,p.value
(Intercept),NA,NA,-5.4096127282907585,2.8494259030487643,-1.8984921567894442,0.05763127999808263
PopDens_two,NA,NA,0.1708948655527405,1.084815309818818,0.1575336041130197,0.8748243262622182
RetDens_bg,NA,NA,0.2122452927453301,0.34914774745852073,0.6078953517251179,0.5432568826788009
distrail_walk_quarter,NA,NA,-0.2134433916559288,3.9970665332536623,-0.05340000970216105,0.95741319748424
distrail_walk_one,NA,NA,-3.0036481492605276,1.7399654304961911,-1.7262688652405975,0.08429905390661684
NumBusStops_one,NA,NA,-0.2586404632491093,0.6423809917234962,-0.402627827693316,0.6872220349348428
NetLoadDens_GF18_two,NA,NA,-0.9305198243427663,0.9428529847733631,-0.9869193176139105,0.3236821932872454
JobsWi45_transit_to_car_ratio,NA,NA,-0.284361874998748,0.4019084996693653,-0.7075288908611825,0.4792378652874427
StreetDens_GF18_two,NA,NA,-0.6775878415779271,0.7169340878410333,-0.9451187397413435,0.3445982591039571
age_OE___75_and_up,NA,NA,-8.412912459869052,0.6724106110527829,-12.511570046012636,6.453589217160111e-36
hhincome_OE____10k_and_up,NA,NA,2.0446885101229486,2.5623124373351622,0.797985632169608,0.42487882795111614
hhincome_OE____15k_and_up,NA,NA,4.019329426983818,1.9162148913919905,2.09753584790486,0.03594616726228576
hhincome_OE____25k_and_up,NA,NA,2.422879645064046,1.468158586237059,1.6502846952480592,0.09888472106618588
hhincome_OE____35k_and_up,NA,NA,2.0926512133937067,1.331251429288636,1.5719428857341624,0.11596379747933254
hhincome_OE____50k_and_up,NA,NA,0.6938301192401396,1.1616130267521738,0.5972988450207574,0.5503078754590517
hhincome_OE____75k_and_up,NA,NA,3.976125548112423,1.1252938816237905,3.533410794320595,4.1023450469214424e-4
hhincome_OE___100k_and_up,NA,NA,-2.0393586164921618,1.3104855793300623,-1.5561854694614108,0.1196639955952448
hhincome_OE___125k_and_up,NA,NA,3.916693771437916,1.7358745822713755,2.2563230151759925,0.024050409041393984
hhincome_OE___150k_and_up,NA,NA,-4.0404107897764465,1.9861804471903943,-2.0342616883032556,0.041925217761134316
hhincome_OE___200k_and_up,NA,NA,2.2899623489290506,1.9341439647753917,1.1839668559496186,0.23642618315555566
hhsize,NA,NA,-4.194512975351198,0.44264663173970226,-9.475985299754354,2.642548667849435e-21
education_OE___HighSchool_and_up,NA,NA,5.579530336124287,1.9082003659804392,2.9239750896167065,0.0034559240190489417
education_OE___SomeCollege_and_up,NA,NA,5.0082517208443935,0.9814130825485115,5.103102668897665,3.341296102775883e-7
education_OE___Bachelors_and_up,NA,NA,0.9807439689785712,0.8913211569331426,1.1003261409760703,0.2711900463386581
education_OE___Graduate_and_up,NA,NA,2.402318908217615,0.9236252247934722,2.600967192894485,0.009296134357711126
youngchildren,NA,NA,2.331543379673083,3.497629568890716,0.6666067214237725,0.5050233746356758
hhincome___Missing,NA,NA,7.260914303769809,2.5355814615781664,2.863609161762272,0.004188444645889521
education___Missing,NA,NA,4.943697292894837,8.813245003944255,0.5609395053334326,0.5748387776653523
loadDens_X_RetDens_above_med,NA,NA,0.7470076681943059,0.8486246487296553,0.8802568595108986,0.37872017730538843
loadDens_X_BusStops_below_thresh,NA,NA,3.327192892684997,1.1347855503453126,2.9320014620141577,0.0033678516147310315
sex_Male,NA,NA,4.730378676111583,0.6412795487192354,7.3764689448760725,1.6254277773473748e-13
sex_Missing,NA,NA,61.06017598247634,37.886720200714464,1.6116511447545379,0.10703787451116245
race_AfAm,NA,NA,-0.406368300449607,2.103201336832361,-0.19321416990997148,0.8467912418460153
race_AI,NA,NA,0.2930233742819365,4.087559354355431,0.071686634707753,0.9428512927537303
race_Asian,NA,NA,-4.166790734548173,1.4358897142894198,-2.901887723744993,0.0037092145427585874
race_Missing,NA,NA,-1.7397829383239285,4.99502141327384,-0.3483033994009725,0.7276123411463802
race_Multi,NA,NA,0.5701339051032583,2.041689765766852,0.2792461002953198,0.7800559672265621
race_Other,NA,NA,-5.087238168953333,2.509000924573067,-2.027595175087064,0.042601581855506464
race_PI,NA,NA,2.2986795796689456,5.046942762337633,0.4554598076329774,0.6487784766251841
ethnicity_Hispanic,NA,NA,1.7579075862622395,1.4870219630765151,1.1821665247131161,0.23713963236669364
ethnicity_Missing,NA,NA,-6.961961964054234,7.660231854176769,-0.9088448099985641,0.36343204955250835
homeown_Missing,NA,NA,25.61665568993031,26.73912488494426,0.9580214685467898,0.33805193305011977
homeown_Other,NA,NA,-4.857721007895806,3.3539481316196715,-1.4483590136946871,0.1475166711680744
homeown_Rent,NA,NA,-5.623784465950688,1.0234559678866924,-5.4948963535413204,3.909399511179358e-8
cbsa_IE,NA,NA,3.314011598114319,1.6468581647612883,2.0123236287289403,0.04418583321622917
cbsa_LA_OC,NA,NA,-0.3129565898666204,1.3375843809536971,-0.23397147449006728,0.8150071241286461
cbsa_SAC,NA,NA,1.037975950053759,1.0321850135539865,1.005610366769261,0.31460303512166893
cbsa_SD,NA,NA,1.2226628846633112,1.2210468008629145,1.0013235232255264,0.3166704239786334
cbsa_SF_OAK,NA,NA,0.17295923940331978,1.4792414235297842,0.11692428068340752,0.9069200569208548
cbsa_SJ,NA,NA,-1.4509313911890191,2.035213073536069,-0.712913753383132,0.47589912804005013
Log(scale),NA,NA,3.598442533888271,0.007237244593694906,497.2116787407237,0
